Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time,,,,,,
106,Julia,0.979296613,0.007396635,0.004058164,0.125962641,0.01107551,0.014002983,0.015715649,0.164002526,2.23E-07,0.048454569,0.157858511,0.13745598,0.338445856,0.330763989,0.025676651,0.085594723,0.025179317,0.480800032,1.269750554,0.212007083,0.392545037,0.113318129,0.885600421,0.263705157,25.66896068,0.011050078,0.013973591,0.015677926,0.163703713,0.148655018,0.005961815,0.04,0.02,9.81E-06,1.510640425,0.014311924,0.4488031,,,,,,
107,Julia,0.964614052,0.016668841,0.00608549,0.099855822,0.010651021,0.0120405,0.012320638,0.166830672,2.87E-07,0.056767007,0.134985911,0.113744347,0.374826003,0.266585994,0.023730549,0.083216106,0.028705587,0.337563636,1.149024535,0.207173051,0.404998756,0.150898893,0.773776975,0.307985577,25.67331988,0.010627165,0.012015848,0.012291791,0.166534178,0.127005294,0.003900383,0.04,0.02,1.26E-05,1.687596664,0.011387443,0.1996594,,,,,,
108,Julia,1.008373141,0.01189665,0.005481021,0.086066758,0.012449794,0.013967532,0.01854293,0.147846124,2.81E-07,0.052874393,0.140994134,0.118320438,0.312579172,0.35114891,0.030657795,0.108605825,0.030627819,0.368067388,1.177917214,0.277735831,0.428310855,0.137129812,0.779745488,0.289503162,25.52366692,0.012418447,0.013935385,0.018494125,0.147550733,0.131793892,0.003908532,0.04,0.02,1.21E-05,1.572228484,0.013446785,0.3043796,,,,,,
109,Julia,1.052839425,0.0208187,0.007729559,0.151225845,0.009923373,0.012093189,0.017546843,0.121074075,3.39E-07,0.054839366,0.140348862,0.114756447,0.33065944,0.320408676,0.035167788,0.1092513,0.039304182,0.37770565,1.134185165,0.247221529,0.463449474,0.134430155,0.905065156,0.309815582,25.64511874,0.009894399,0.012060912,0.01749329,0.120793543,0.129656208,0.002933253,0.04,0.02,1.39E-05,1.545558963,0.015021404,0.1821893,,,,,,
110,Julia,5.561120818,0.023797012,0.0053614,0.209480238,0.016935167,0.018305094,0.019327346,21.39427289,8.48E-07,0.070499702,0.004596866,0.1395795,0.287913418,0.258324448,0.027703126,0.109913228,0.028046578,0.373356025,1.237427595,0.234048714,0.390431412,0.150539694,0.007035506,0.347342762,25.6582634,0.007101907,0.008080325,0.007896672,10.19684563,0.000111504,6.24E-06,0.04,0.02,4.28E-05,2.180372786,0.005915653,0.3134793,,,,,,
111,Julia,1.096775347,0.014404087,0.007457395,0.150132061,0.013485859,0.015943652,0.02144306,0.236101089,2.69E-07,0.054677224,0.149309562,0.125316397,0.34800604,0.339305928,0.031450733,0.118287733,0.033551329,0.420104554,1.127482579,0.217517715,0.425421042,0.118257602,0.763908711,0.370310486,25.52919549,0.013448357,0.015903123,0.021380728,0.235580076,0.138270273,0.003009819,0.04,0.02,1.13E-05,1.532178184,0.014975103,0.6393817,,,,,,
112,Julia,0.939804048,0.010711481,0.00500528,0.10000229,0.011779375,0.013576851,0.014447571,0.101515531,1.92E-07,0.05068835,0.151416886,0.125543285,0.350225002,0.322965354,0.022443616,0.087211139,0.030403215,0.377501495,1.016013704,0.207206173,0.461070165,0.13181945,0.792799159,0.372890441,25.60565809,0.011746134,0.013541827,0.014404952,0.101288192,0.140281652,0.003408798,0.04,0.02,8.31E-06,1.488820774,0.015816141,0.8009497,,,,,,
113,Julia,1404.002797,0.025384313,0.01959031,5.379280277,4.034673752,4.975878382,2.188831845,9.671983344,0.005298162,8.45E-05,0.016298293,0.148194642,0.250674822,0.230976844,0.027837159,0.119571874,0.036028186,0.462959432,1.030258393,0.007521191,0.007538028,0.007316848,0.007333109,0.008209274,25.42988348,2.913411713,3.681122999,1.560824745,7.410144044,0.001427931,3.88E-05,0.04,0.02,0.249336444,0.002744838,0.022887616,0.3112203,,,,,,
114,Julia,1.042042834,0.012692927,0.004872152,0.116272596,0.013194341,0.017145643,0.01359077,0.180547015,2.16E-07,0.060931771,0.159895147,0.13993104,0.317506822,0.291942804,0.02982232,0.111405448,0.031820079,0.435090356,1.154163906,0.246654734,0.402445665,0.138838465,0.869720746,0.340103943,25.61337311,0.013167743,0.017114049,0.01356213,0.180258237,0.151370911,0.005451505,0.04,0.02,9.54E-06,1.824910011,0.012243951,0.1779393,,,,,,
115,Julia,0.963818693,0.009768306,0.005597109,0.100978591,0.011092395,0.013232797,0.016118849,0.126436503,2.52E-07,0.065973544,0.147916617,0.127788421,0.347257242,0.277723282,0.023460536,0.084100099,0.025166082,0.456388231,0.981657706,0.22694655,0.469117458,0.125595604,0.741700574,0.300377218,25.64429998,0.01107338,0.013212063,0.016089963,0.12626454,0.140929842,0.004605559,0.04,0.02,1.13E-05,1.90982987,0.009294776,0.2690284,,,,,,
116,Julia,1.293178304,0.012408421,0.004127729,0.097903293,0.010887893,0.012667756,0.013947449,1.212153113,2.50E-07,0.051859954,0.134359342,0.1326067,0.341520836,0.298573099,0.030439328,0.099318989,0.031291165,0.382486543,1.29264636,0.280654191,0.428052266,0.140702461,0.818153108,0.345489018,25.5700236,0.010864887,0.012643289,0.013916641,1.210120871,0.127131857,0.006310271,0.04,0.02,1.10E-05,1.62416499,0.011274365,0.3048133,,,,,,
117,Julia,1.025855464,0.016727288,0.005570968,0.091410108,0.011127334,0.01250973,0.020599845,0.202224639,2.24E-07,0.063682623,0.162789302,0.139214143,0.295774478,0.288547498,0.033067045,0.110213207,0.029691188,0.384034304,1.015687988,0.245593754,0.421854114,0.12810482,0.754078875,0.322701605,25.59599726,0.011101003,0.012482671,0.020548889,0.201844934,0.152273933,0.003471089,0.04,0.02,9.76E-06,1.79114492,0.013725455,2.5086457,,,,,,
118,Julia,1.159194453,0.015727958,0.006081785,0.165184183,0.014885532,0.018471135,0.018365208,0.253704111,2.92E-07,0.055126748,0.168673917,0.146907919,0.334459253,0.309938221,0.035258348,0.136657681,0.039420966,0.422649671,1.269358796,0.23862133,0.487155924,0.120360694,0.831868258,0.289535252,25.57017888,0.014848902,0.018429586,0.018317966,0.253208716,0.157840641,0.004760167,0.04,0.02,1.23E-05,1.605138748,0.015617216,0.5208834,,,,,,
119,Julia,73.54661432,0.013823432,0.00667891,5.442398604,1.752991262,2.932639454,3.342275178,12.91426276,0.000157652,0.03598211,0.013009963,0.135654392,0.313756932,0.248436575,0.022890838,0.102806225,0.027261949,0.436032582,0.988959352,0.007546982,0.231081605,0.008294377,0.00682606,0.161655785,25.58821781,0.974592303,1.695235586,1.821407281,7.906149585,0.000572129,1.64E-05,0.04,0.02,0.008153223,1.236133148,0.018944058,0.4807255,,,,,,
120,Julia,0.919112358,0.012617607,0.005746568,0.087423565,0.008604579,0.009704097,0.012619192,0.179031718,1.93E-07,0.04931825,0.137909424,0.113590039,0.315836682,0.296564457,0.025419504,0.098550567,0.028384501,0.357341401,1.104241163,0.233807333,0.499606374,0.152214731,0.655360956,0.341945067,25.67100679,0.008578833,0.009677554,0.012579723,0.178606606,0.127360242,0.003224511,0.04,0.02,8.43E-06,1.484134638,0.015508687,0.2432708,,,,,,
121,Julia,0.987366034,0.012711811,0.004696131,0.117702579,0.012006011,0.013018715,0.011410837,0.155077119,1.84E-07,0.055594243,0.17377212,0.146662886,0.343979412,0.296454157,0.026092246,0.117768756,0.026955275,0.403253661,1.39921615,0.237626994,0.421720601,0.167014372,0.717887109,0.353577688,25.54150777,0.011972765,0.012985761,0.011377807,0.154736344,0.16079984,0.003204609,0.04,0.02,7.86E-06,1.54810956,0.017040769,0.8658477,,,,,,
122,Julia,1.427582528,0.015072364,0.008211939,0.136575946,0.016569326,0.019212894,0.015634313,1.288538044,3.29E-07,0.05146011,0.146077627,0.139779892,0.257471732,0.350106616,0.035003242,0.134607278,0.035244832,0.378044016,1.067123856,0.225760714,0.434577442,0.157501275,0.733926395,0.288313523,25.57479557,0.01652218,0.01916292,0.015587811,1.285628501,0.135353278,0.003999776,0.04,0.02,1.32E-05,1.452664491,0.015513853,0.3033715,,,,,,
123,Julia,1.128443736,0.015068037,0.006167626,0.135733151,0.015824486,0.018512437,0.015067818,0.332796299,2.52E-07,0.057698176,0.16235807,0.143718072,0.349966904,0.293763515,0.033454042,0.101168797,0.03734231,0.382193264,1.153748754,0.223694922,0.37160504,0.142208064,0.872493413,0.314401076,25.53165523,0.015791978,0.018477675,0.015035461,0.332253857,0.153374604,0.004825732,0.04,0.02,1.09E-05,1.657464395,0.012357736,0.8816038,,,,,,
124,Julia,1656.59003,0.068216424,0.028074572,5.267344087,3.838616773,4.990833469,2.478033706,8.708756809,0.006210237,2.08E-05,0.012370106,0.13899917,0.265976855,0.276010852,0.027192153,0.112995212,0.032113348,0.405813925,1.123349779,0.00758156,0.007646723,0.007366272,0.00729998,0.007438221,25.46488759,2.799830286,3.727073313,1.785478539,6.728777718,0.001130533,3.99E-05,0.04,0.02,0.299006571,0.000694641,0.017647905,0.4680861,,,,,,
125,Julia,1.07966014,0.014398746,0.005787955,0.08474234,0.010007993,0.011731854,0.015679791,0.577922325,2.37E-07,0.049213663,0.147263927,0.130546192,0.296830397,0.330489778,0.023709557,0.111452984,0.029946618,0.38818996,1.019050306,0.24519472,0.408746435,0.117578004,0.629944814,0.299893716,25.59339538,0.009979912,0.011701762,0.015633802,0.576635505,0.136825948,0.004448979,0.04,0.02,1.03E-05,1.502529122,0.015948368,0.190904,,,,,,
126,Julia,0.99779412,0.012032279,0.005805215,0.091919485,0.013556796,0.015503907,0.019651333,0.103536122,1.99E-07,0.054778408,0.1533742,0.125261907,0.368850644,0.340199976,0.029842632,0.103106218,0.027137582,0.448831351,1.289403573,0.254342962,0.411907564,0.125637952,0.685525189,0.32140017,25.59387761,0.013515187,0.015460406,0.019588285,0.103283929,0.140806225,0.002505039,0.04,0.02,8.61E-06,1.540762349,0.016589021,0.262408,,,,,,
127,Julia,1.162686684,0.015189977,0.007319679,0.128154664,0.018136991,0.01989561,0.014238933,0.281346079,2.81E-07,0.066077787,0.14092067,0.122865653,0.282512082,0.34157589,0.040283535,0.119872889,0.035499932,0.422698126,1.188383018,0.231913163,0.489670019,0.156612672,0.961511174,0.347936722,25.48612096,0.018100252,0.019858773,0.014208782,0.280893898,0.133373504,0.004764455,0.04,0.02,1.19E-05,1.92523493,0.010831148,0.2597299,,,,,,
128,Julia,0.98656939,0.014605767,0.00504252,0.107108374,0.010741815,0.010722272,0.015247893,0.151333499,2.58E-07,0.059386352,0.1533738,0.127224417,0.320792771,0.297685654,0.03162637,0.111001114,0.030457785,0.374564014,1.123142194,0.269526316,0.462706982,0.156122904,0.662109684,0.292933719,25.51783336,0.010711023,0.010694175,0.015202203,0.150989239,0.141687497,0.002923252,0.04,0.02,1.11E-05,1.690785998,0.015792101,0.3528513,,,,,,
129,Julia,0.927730092,0.009288585,0.003580129,0.081539702,0.007632651,0.008743314,0.012288507,0.25258468,1.80E-07,0.062582734,0.16458624,0.148120962,0.31150604,0.269706474,0.023825989,0.087519457,0.021663008,0.367513275,1.096106077,0.234816551,0.440346809,0.139650209,0.659640747,0.330161712,25.57517279,0.007620782,0.008730886,0.01226853,0.252273054,0.15758798,0.006389653,0.04,0.02,8.22E-06,1.861845389,0.009588999,0.3166827,,,,,,
130,Julia,1.231040918,0.011689365,0.004801207,0.112873057,0.013646863,0.015153425,0.019563746,0.785726839,2.50E-07,0.064817017,0.155756481,0.146161591,0.338159243,0.355101395,0.026675682,0.11192314,0.034027874,0.5081186,1.199988698,0.216523665,0.378326446,0.133839444,0.767966506,0.319114671,25.65154146,0.013623284,0.015129493,0.019528411,0.784649773,0.148344091,0.005222272,0.04,0.02,1.10E-05,1.848426006,0.00985321,2.8418567,,,,,,
131,Julia,1.046787078,0.011264698,0.004133039,0.127667041,0.014079043,0.016720747,0.015197811,0.204087919,2.16E-07,0.055683263,0.155588023,0.13757047,0.315789755,0.318820469,0.030069374,0.10173867,0.02590063,0.400150596,1.322723247,0.219538591,0.38371023,0.153239583,0.832740187,0.348815904,25.54450025,0.014050916,0.016690213,0.015166071,0.203764409,0.147578392,0.006500065,0.04,0.02,9.46E-06,1.717125997,0.012254896,0.2514105,,,,,,
132,Julia,0.946883807,0.010807511,0.004890996,0.07101448,0.011237133,0.013878167,0.0112662,0.131157041,2.10E-07,0.052953476,0.166980351,0.14386856,0.397432469,0.292969507,0.026310814,0.086463917,0.023465857,0.383305325,1.258919448,0.238349496,0.426280499,0.117358783,0.813559323,0.278868596,25.70322378,0.011211322,0.013849028,0.011239149,0.130917998,0.156851726,0.00472983,0.04,0.02,9.36E-06,1.58065663,0.014358422,0.5455355,,,,,,
133,Julia,1.078221452,0.010492425,0.005408659,0.102003255,0.012531211,0.015770676,0.021867822,0.270658249,2.79E-07,0.067381159,0.142799723,0.12163921,0.300964073,0.325298469,0.034880637,0.128995594,0.034026381,0.444087394,1.333535817,0.270182707,0.39016003,0.128002581,0.659039214,0.284091669,25.58505755,0.012502924,0.015738135,0.021816221,0.270173466,0.133939969,0.003124066,0.04,0.02,1.21E-05,1.885222037,0.011501991,0.3204236,,,,,,
134,Julia,0.928669814,0.009354823,0.005903272,0.094295698,0.012187429,0.013887324,0.010035585,0.133775172,1.63E-07,0.057835681,0.138470734,0.1141543,0.327356102,0.335241089,0.028730935,0.091986938,0.026217324,0.404375952,1.136044409,0.246047977,0.41125461,0.15018587,0.638945293,0.372676005,25.61584285,0.012155386,0.013853948,0.010008004,0.133496074,0.128809249,0.003024321,0.04,0.02,7.15E-06,1.685227297,0.013314898,0.1853545,,,,,,
135,Julia,0.972437246,0.015111349,0.005565325,0.089101827,0.010435493,0.012161563,0.01201319,0.202388832,1.94E-07,0.047227297,0.137733903,0.111502587,0.345028945,0.339992101,0.03262353,0.094390811,0.03404161,0.408201513,1.225772284,0.241015542,0.450677186,0.147210622,0.698181007,0.353219778,25.52201547,0.010397727,0.012121327,0.011967745,0.20180749,0.125297501,0.002818801,0.04,0.02,8.22E-06,1.407758186,0.01867291,2.5761839,,,,,,
136,Julia,1.061459712,0.014238131,0.005912109,0.095504399,0.012513086,0.015052363,0.019213366,0.356338264,2.11E-07,0.05728547,0.153927732,0.134690416,0.350798654,0.332794043,0.025452314,0.087254829,0.028653481,0.345978066,1.003355973,0.27052489,0.417381206,0.113227462,0.708228545,0.31588369,25.60072739,0.012483877,0.015020245,0.019166483,0.355678242,0.144447981,0.004359344,0.04,0.02,9.29E-06,1.698954277,0.013435399,0.4274249,,,,,,
137,Julia,0.91456527,0.009040046,0.004043465,0.101933424,0.010073595,0.011717801,0.01296585,0.151298131,1.73E-07,0.048955796,0.162343567,0.136543232,0.37917017,0.255881072,0.024336242,0.095285649,0.02438603,0.460056539,1.180195291,0.215215112,0.372580536,0.109952404,0.632961026,0.324650855,25.647721,0.010044462,0.011686823,0.012926653,0.150950891,0.150198396,0.003748989,0.04,0.02,7.60E-06,1.461714276,0.017461557,0.2414434,,,,,,
138,Julia,0.979080201,0.01241204,0.004330693,0.085493056,0.01257135,0.015317112,0.017358138,0.119816538,2.58E-07,0.0559694,0.137060376,0.110574853,0.282938806,0.351043863,0.030259057,0.101854945,0.026784167,0.377795592,1.388412459,0.2740769,0.390322178,0.135470083,0.694754753,0.315820427,25.52915885,0.012531697,0.015272945,0.017300906,0.119516603,0.125824544,0.002572283,0.04,0.02,1.11E-05,1.625488719,0.015745535,0.3119604,,,,,,
139,Julia,0.948109545,0.010122048,0.003600838,0.084360779,0.009398068,0.010598927,0.016780756,0.182846762,2.06E-07,0.049953824,0.16187752,0.142799643,0.312552146,0.307532169,0.023177801,0.095932825,0.025027037,0.413660652,1.262167396,0.233448387,0.348559455,0.128094041,0.759032743,0.269601865,25.6757753,0.009378775,0.010579039,0.016744746,0.182548947,0.153294609,0.006391127,0.04,0.02,9.29E-06,1.565001621,0.013025637,0.2353738,,,,,,
140,Julia,1.02204895,0.013373719,0.005226779,0.096815175,0.015081338,0.016842855,0.012741312,0.111157893,2.89E-07,0.062595936,0.141926808,0.117849839,0.356496638,0.367357694,0.026691775,0.1155281,0.034375411,0.390592965,1.129174498,0.230326818,0.375566345,0.153147794,0.950746037,0.31079146,25.52236562,0.01504452,0.016805269,0.012708797,0.110942563,0.132633668,0.003191378,0.04,0.02,1.25E-05,1.78524068,0.012585369,0.4590516,,,,,,
141,Julia,1471.083856,0.014857492,0.007005384,5.360749454,4.812815866,4.907377934,2.377745403,10.30404553,0.005529187,3.94E-06,0.017332658,0.133736107,0.241834502,0.225824915,0.024740138,0.112932991,0.028660115,0.391977706,1.176208185,0.007051308,0.007500982,0.006943127,0.007315261,0.007511551,25.51314135,2.932106553,3.093799796,1.423309944,6.829697963,0.000877454,1.24E-05,0.04,0.02,0.262882006,0.000116675,0.021414011,0.824905,,,,,,
142,Julia,0.909974553,0.009978347,0.005218446,0.085231853,0.009569769,0.010507319,0.009527954,0.191164992,1.64E-07,0.052658989,0.162298243,0.139515553,0.398651605,0.266761481,0.02408837,0.08560558,0.024575137,0.368183068,0.912933118,0.243135178,0.421099818,0.135425308,0.64584055,0.326624899,25.58439905,0.009547001,0.010484467,0.009504257,0.190804092,0.152063773,0.004273623,0.04,0.02,7.44E-06,1.582077811,0.014356872,0.4814666,,,,,,
143,Julia,1.125802684,0.015680338,0.007194686,0.128026554,0.013475813,0.014336143,0.018803552,0.303764854,2.89E-07,0.059352058,0.147616778,0.125824498,0.325921785,0.335538633,0.032261431,0.128648882,0.03423075,0.455825518,1.445153727,0.238491824,0.467217929,0.134449119,0.738607977,0.355140061,25.56546843,0.013439431,0.014300763,0.018750486,0.303114073,0.137199256,0.003567169,0.04,0.02,1.19E-05,1.685370988,0.014772126,0.4717497,,,,,,
144,Julia,1.042216214,0.01596503,0.004857842,0.132901942,0.013986904,0.016031371,0.017787405,0.185548562,1.98E-07,0.058945907,0.173832767,0.150797004,0.337335165,0.306170026,0.03064336,0.0999687,0.029847209,0.406338033,1.221069574,0.23047541,0.329941606,0.117197989,0.811609625,0.290715769,25.66260156,0.013956689,0.015999715,0.017747238,0.18523052,0.163505372,0.00407137,0.04,0.02,8.65E-06,1.656230822,0.013439234,0.6106864,,,,,,
145,Julia,0.982641272,0.009267081,0.005489279,0.076941585,0.010661261,0.012853375,0.010860729,0.258460503,2.12E-07,0.065268942,0.161273613,0.141865447,0.363840958,0.305975424,0.025323207,0.09991686,0.02333144,0.411112781,1.095723375,0.248840645,0.39026727,0.14452397,0.694651467,0.327515119,25.6649911,0.010641023,0.012831073,0.010839177,0.258071228,0.1528959,0.004708446,0.04,0.02,9.54E-06,1.900917534,0.011210203,0.386677,,,,,,
146,Julia,1.062011713,0.00970324,0.005431983,0.133225499,0.011996175,0.014441423,0.021005792,0.190656792,2.43E-07,0.059025404,0.141096592,0.119211995,0.349823344,0.32170019,0.031749928,0.140718278,0.038308034,0.480099868,1.247736424,0.262995488,0.374594868,0.135380682,0.883136767,0.326025191,25.55407854,0.011966711,0.014409001,0.020951861,0.190285216,0.132033622,0.003869915,0.04,0.02,1.04E-05,1.731834856,0.013043662,0.1913603,,,,,,
147,Julia,1441.163048,0.074941383,0.040008871,5.41996894,4.125094516,5.431524021,2.056261267,8.77739055,0.005419911,7.99E-08,0.015601638,0.122597848,0.255100361,0.270672823,0.0290237,0.108658772,0.031361485,0.486892641,1.144721354,0.007212441,0.007232886,0.007274624,0.007340067,0.007321463,25.51556033,2.643004087,3.591131904,1.296304318,6.075409659,0.000934413,1.74E-05,0.04,0.02,0.257374464,2.50E-06,0.020963005,2.5771488,,,,,,
148,Julia,1.3080196,0.010839847,0.007876301,0.137929634,0.015002795,0.015899544,0.018705879,0.974453898,2.32E-07,0.056264297,0.134778965,0.129062483,0.323440726,0.294933758,0.037641826,0.116061531,0.029929862,0.475745463,1.216709237,0.227385171,0.411849732,0.138335835,0.772850836,0.363647522,25.51882999,0.014970594,0.01586835,0.018663908,0.972794362,0.127433949,0.006089909,0.04,0.02,1.01E-05,1.743088611,0.011491509,0.3126957,,,,,,
149,Julia,1.055793507,0.010579639,0.00598981,0.102149926,0.015797859,0.016712744,0.016684244,0.248133941,2.37E-07,0.057020203,0.152851579,0.132377963,0.360829767,0.31526819,0.024355912,0.107386781,0.028095722,0.423695635,1.196466145,0.233399783,0.411817631,0.139273214,0.772595669,0.269507874,25.59695848,0.015761992,0.01667806,0.016644647,0.24768693,0.143698458,0.004480142,0.04,0.02,1.03E-05,1.685219113,0.013053355,1.0953658,,,,,,
150,Julia,0.892320011,0.010038924,0.004043798,0.107912071,0.011113358,0.012162989,0.01636902,0.061469517,2.04E-07,0.058947622,0.14437252,0.11695806,0.368790194,0.245915047,0.022554246,0.078884274,0.023413557,0.455834281,0.959140557,0.224841136,0.333102952,0.123641811,0.830500217,0.260069502,25.73442684,0.011081388,0.012131004,0.016319797,0.061329189,0.133229123,0.002495501,0.04,0.02,9.12E-06,1.696114327,0.014725063,0.3828996,,,,,,
151,Julia,1.031233318,0.013856113,0.004918395,0.104491116,0.013654212,0.013784038,0.021702525,0.139861666,2.34E-07,0.05111721,0.134029398,0.111750392,0.356148537,0.360356956,0.032793911,0.123781176,0.028700349,0.427458605,1.334408912,0.263617785,0.401132076,0.129508839,0.805810268,0.310152156,25.60799735,0.013617692,0.013750338,0.021641848,0.139564824,0.125010993,0.004213347,0.04,0.02,1.01E-05,1.575888632,0.014039628,0.3880479,,,,,,
152,Julia,78.46253263,0.011945597,0.006494977,5.479452119,3.656012863,4.47558302,2.875295191,11.22433641,0.000125605,0.024717136,0.015661369,0.152042524,0.278658326,0.201089367,0.021279459,0.099144081,0.024583332,0.449870955,0.939589175,0.009487741,0.07832346,0.008675091,0.007083114,0.118218205,25.51918081,2.399747827,3.027255277,1.858273138,7.931335636,0.001042164,3.11E-05,0.04,0.02,0.006501244,0.868428303,0.023067926,1.0131402,,,,,,
153,Julia,1.06701737,0.013563106,0.00600438,0.096080652,0.012417348,0.014120742,0.02162269,0.27293859,2.61E-07,0.056204946,0.1387192,0.120488476,0.310055299,0.293476932,0.032445091,0.113227488,0.031003933,0.378566756,1.090167791,0.238186975,0.412111939,0.142715504,0.765164965,0.336036778,25.52620229,0.012389291,0.014091577,0.021571617,0.272449245,0.130724288,0.005166105,0.04,0.02,1.14E-05,1.730247412,0.01230989,0.4804871,,,,,,
154,Julia,0.878537035,0.011575573,0.004452444,0.088373351,0.008408146,0.010142876,0.011545323,0.134479492,2.10E-07,0.062509597,0.14330332,0.119235774,0.347187097,0.237705681,0.020737444,0.085475855,0.021002219,0.392880077,1.196525139,0.226463487,0.420229153,0.112932276,0.752433151,0.276706894,25.66575338,0.008387756,0.010120392,0.011516056,0.134220718,0.133887244,0.003044481,0.04,0.02,9.57E-06,1.826345535,0.01250126,0.2769207,,,,,,
155,Julia,1148.814327,0.043945036,0.020767876,5.339587131,4.33048008,5.263549501,2.530940168,9.52941681,0.004295434,0.000715383,0.01758769,0.138242289,0.27789728,0.225796582,0.030164312,0.113926011,0.030340086,0.372138272,1.139396188,0.007168784,0.0074882,0.007093301,0.007322002,0.01839608,25.47677711,2.86881476,3.591304766,1.651337636,6.786911574,0.001193789,2.79E-05,0.04,0.02,0.202087588,0.023352271,0.025445937,0.3207558,,,,,,
156,Julia,1.0421183,0.013524284,0.005307529,0.104676029,0.012264629,0.013776657,0.016413343,0.310722243,2.19E-07,0.057590373,0.164400668,0.144097124,0.293746348,0.282696495,0.026670214,0.109332034,0.025692924,0.415768208,1.050313548,0.221076446,0.488717659,0.130695648,0.690761775,0.298589307,25.57428786,0.012236164,0.01374743,0.016373523,0.310150028,0.154311534,0.004647963,0.04,0.02,9.56E-06,1.69354642,0.014263071,0.4582246,,,,,,
157,Julia,1892.862845,0.135826789,0.049401759,5.363358191,4.942741956,4.901011727,2.244708242,9.752715342,0.007072332,2.43E-05,0.01074235,0.137468296,0.264461935,0.240953884,0.030227563,0.125766922,0.036807518,0.380398011,1.224056072,0.007254282,0.007669249,0.007552259,0.007736532,0.007791847,25.46839496,3.239824544,3.310670808,1.448654877,6.883275682,0.000697919,2.43E-05,0.04,0.02,0.344367588,0.000797648,0.015093836,0.3410866,,,,,,
158,Julia,1.016214752,0.012245765,0.005558261,0.104430876,0.013969085,0.015294078,0.015652646,0.204341126,2.23E-07,0.066418783,0.134504018,0.114531359,0.314039077,0.279036886,0.032039876,0.100805746,0.02567994,0.444163802,1.235344445,0.216906665,0.419319906,0.149060156,0.757659388,0.337581889,25.62099399,0.013941062,0.015266032,0.01561982,0.204015868,0.127198563,0.003842535,0.04,0.02,9.91E-06,1.940084816,0.009981898,0.2330271,,,,,,
159,Julia,1.011377524,0.012075174,0.006135364,0.087961915,0.010683349,0.013403198,0.014650577,0.180247665,2.44E-07,0.05177437,0.132530658,0.110331551,0.281324766,0.348377777,0.032593945,0.112599344,0.034253174,0.47739987,1.185720596,0.246588884,0.546316521,0.152520513,0.83271368,0.364727199,25.64365232,0.010653688,0.013369181,0.014608058,0.179850537,0.123296407,0.003959101,0.04,0.02,1.04E-05,1.572438249,0.014311479,0.7781674,,,,,,
160,Julia,1.144796538,0.012951818,0.006554035,0.087969009,0.011740521,0.01501315,0.015838166,0.647689297,2.02E-07,0.065407281,0.157265228,0.14315879,0.294340797,0.281630628,0.026190414,0.102637257,0.032334727,0.372616735,1.080547347,0.247300105,0.38284037,0.156410736,0.737853167,0.360217057,25.57822701,0.011715842,0.014984304,0.015803364,0.646609056,0.148302671,0.004461208,0.04,0.02,8.83E-06,1.876749989,0.012123127,0.4050838,,,,,,
161,Julia,0.995757792,0.011901724,0.005146103,0.100892792,0.009625673,0.011946164,0.017287508,0.175639422,2.55E-07,0.055645265,0.170179981,0.144083709,0.335355079,0.299450421,0.028947454,0.095631014,0.031795676,0.433443309,1.125607436,0.260656455,0.419493852,0.123072508,0.832929399,0.267422533,25.6403165,0.009599469,0.011916436,0.017238314,0.175259998,0.157748361,0.00332197,0.04,0.02,1.10E-05,1.565603679,0.016536275,0.1862037,,,,,,
162,Julia,1.054963726,0.012848747,0.007869138,0.14823824,0.013039843,0.015267161,0.015106454,0.219656633,2.76E-07,0.05147793,0.172061071,0.147616199,0.276852465,0.287707454,0.032684062,0.098441906,0.026267975,0.397540238,1.071394757,0.216474592,0.453674554,0.127718512,0.659503887,0.285639267,25.51614345,0.013004393,0.01522922,0.015063524,0.219182752,0.159816281,0.004082497,0.04,0.02,1.18E-05,1.495817449,0.017277683,0.255168,,,,,,
163,Julia,0.966251396,0.010600345,0.005618578,0.093797817,0.009797548,0.011121008,0.017476364,0.110128251,2.81E-07,0.058450986,0.142022562,0.115202305,0.327550388,0.343851302,0.024932048,0.120503114,0.026664693,0.48458898,1.208621455,0.228824544,0.481701037,0.138904046,0.843067734,0.282397333,25.57756287,0.00976881,0.011091189,0.017422779,0.1098719,0.130839914,0.00237345,0.04,0.02,1.22E-05,1.641363923,0.014688721,0.7365161,,,,,,
164,Julia,1.028603074,0.011035466,0.004018781,0.083070599,0.013006735,0.014558242,0.013716621,0.399426686,2.27E-07,0.049494644,0.135674211,0.118041743,0.310786469,0.281797959,0.030304618,0.091338791,0.031597572,0.415146891,1.406821384,0.249460991,0.356233218,0.133174319,0.616386658,0.314377019,25.60233921,0.012974088,0.01452484,0.013680632,0.398631145,0.127025314,0.004511791,0.04,0.02,9.85E-06,1.521075712,0.013265366,0.3432732,,,,,,
