Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time
14,Julia,0.951656946,0.011032993,0.004707533,0.08603694,0.007515547,0.008854239,0.011097208,0.18389571,2.34E-07,0.046444365,0.153898784,0.129889072,0.319404749,0.36166223,0.031416887,0.095101919,0.029947413,0.448268358,1.362973664,0.222799708,0.531497475,0.149267789,0.773458297,0.32481258,25.62211699,0.007493639,0.008830645,0.011063394,0.183470299,0.142596091,0.00423566,0.04,0.02,1.00E-05,1.408338057,0.017232525,0.9531326
15,Julia,0.964346719,0.013025067,0.004049682,0.078157603,0.008709666,0.009829341,0.012285521,0.3640292,2.11E-07,0.051271253,0.163765369,0.146990267,0.343096893,0.269656333,0.019896515,0.080779501,0.023640999,0.337941286,1.00121092,0.202242464,0.356638911,0.135031543,0.702196047,0.271868502,25.61994027,0.008691162,0.009810254,0.012258237,0.36341557,0.154778429,0.006320101,0.04,0.02,9.52E-06,1.602009747,0.013597912,0.243266
16,Julia,38.62522538,0.110730575,0.038235176,5.373525542,2.529347187,3.285038316,3.00078866,11.16648758,7.01E-06,0.028550983,0.019026654,0.147535609,0.277275604,0.226327632,0.023977008,0.096451061,0.027573946,0.360979265,1.091150748,0.010243538,0.130972071,0.009812092,0.007222325,0.132327944,25.45014682,1.703752969,2.276761639,1.991762038,8.066422447,0.001279215,2.08E-05,0.04,0.02,0.000356458,0.904983144,0.024161729,0.2247854
17,Julia,0.989080779,0.01422268,0.006523461,0.10050928,0.011022499,0.012170313,0.01910174,0.151140212,2.79E-07,0.055643684,0.142684662,0.115967015,0.330928172,0.354634921,0.025461557,0.096861995,0.030433277,0.404864924,1.060801307,0.244791964,0.413260787,0.131777854,0.664601755,0.298133734,25.4971697,0.010988124,0.012135617,0.01903947,0.150766145,0.130910559,0.002401718,0.04,0.02,1.19E-05,1.567205535,0.015791932,0.2103325
18,Julia,0.966816237,0.013816606,0.004407136,0.098909824,0.011570012,0.012341647,0.014734213,0.202641099,1.80E-07,0.047729274,0.146408769,0.122597667,0.371841119,0.330719757,0.024893144,0.1086827,0.0259409,0.389302864,1.304341279,0.254714993,0.344772303,0.135228424,0.651247377,0.326496794,25.61037989,0.011535909,0.012308393,0.014688815,0.202167096,0.135445172,0.00372954,0.04,0.02,7.86E-06,1.451986176,0.016423064,0.1206536
19,Julia,1.161450949,0.012863225,0.004397937,0.111993984,0.011974576,0.014147947,0.015550078,0.578057748,3.31E-07,0.058328506,0.156306201,0.14145566,0.314927702,0.355172525,0.034269112,0.114259512,0.027247309,0.373767435,1.25412487,0.260111488,0.413979171,0.150221514,0.720504111,0.315298936,25.62315119,0.011948676,0.014119975,0.015514918,0.577065684,0.14731311,0.004841048,0.04,0.02,1.44E-05,1.71114292,0.012657357,0.2952072
20,Julia,1423.367879,0.054795534,0.021954988,5.499681983,3.676384393,5.319103817,2.62786205,9.578320083,0.005321454,9.09E-05,0.017575722,0.144882861,0.249822842,0.251751964,0.025386585,0.089937204,0.02613304,0.392687217,1.204607937,0.0071577,0.006940792,0.006965383,0.007427327,0.008167239,25.46345149,2.562580241,3.806913365,1.806838194,7.122932624,0.001322368,2.49E-05,0.04,0.02,0.255026719,0.002827489,0.022766095,0.4726039
21,Julia,1.041322966,0.010811329,0.004617066,0.118466734,0.014410226,0.017392305,0.016623462,0.167652531,2.58E-07,0.062865622,0.162830303,0.139130927,0.309592372,0.333735024,0.027119254,0.102577585,0.030543365,0.452584648,1.344839682,0.248047263,0.369718057,0.127563637,0.763470813,0.308103598,25.67380005,0.014377252,0.017355926,0.016583699,0.167348126,0.152617976,0.00357202,0.04,0.02,1.11E-05,1.749065818,0.013309483,1.0206621
22,Julia,1.139676431,0.010776558,0.006644572,0.087288081,0.010608242,0.011539406,0.013654844,0.60897614,2.79E-07,0.054588783,0.161378191,0.148482175,0.327198813,0.346285787,0.027977099,0.111536579,0.026014588,0.46215128,1.016084244,0.280302762,0.492342778,0.155951033,0.67043988,0.283913415,25.70883062,0.010586054,0.011517344,0.013624988,0.607965504,0.152586406,0.006150991,0.04,0.02,1.22E-05,1.655669349,0.013055096,0.2758916
23,Julia,0.961677068,0.009670349,0.005589068,0.09888044,0.011345193,0.012227012,0.020269232,0.102298206,1.72E-07,0.059239782,0.14058112,0.115368421,0.332862777,0.352954978,0.027163618,0.11189754,0.028142372,0.440172266,1.104356295,0.26876665,0.409109136,0.129613365,0.820880446,0.353114742,25.66949727,0.01131483,0.012197099,0.020212528,0.102080953,0.130570329,0.00289154,0.04,0.02,7.39E-06,1.686311753,0.013613554,0.142851
